equipo1,equipo2,posesión equipo1,posesión equipo2,posesión en competencia,goles equipo1,goles equipo2,intentos equipo1,intentos equipo2,fecha,hora,categoría
QATAR,ECUADOR,42%,50%,8%,0,2,5,6,20 NOV 2022,17 : 00,Group A
ENGLAND,IRAN,72%,19%,9%,6,2,13,8,21 NOV 2022,14 : 00,Group B
SENEGAL,NETHERLANDS,44%,45%,11%,0,2,14,9,21 NOV 2022,17 : 00,Group A
UNITED STATES,WALES,51%,39%,10%,1,1,6,7,21 NOV 2022,20 : 00,Group B
ARGENTINA,SAUDI ARABIA,64%,24%,12%,1,2,14,3,22 NOV 2022,11 : 00,Group C
DENMARK,TUNISIA,55%,33%,12%,0,0,11,11,22 NOV 2022,14 : 00,Group D
MEXICO,POLAND,54%,31%,15%,0,0,13,8,22 NOV 2022,17 : 00,Group C
FRANCE,AUSTRALIA,56%,35%,9%,4,1,22,4,22 NOV 2022,20 : 00,Group D
MOROCCO,CROATIA,32%,57%,12%,0,0,8,6,23 NOV 2022,11 : 00,Group F
GERMANY,JAPAN,65%,22%,13%,1,2,25,10,23 NOV 2022,14 : 00,Group E
SPAIN,COSTA RICA,74%,17%,9%,7,0,17,0,23 NOV 2022,17 : 00,Group E
BELGIUM,CANADA,46%,43%,11%,1,0,9,21,23 NOV 2022,20 : 00,Group F
SWITZERLAND,CAMEROON,43%,46%,11%,1,0,8,7,24 NOV 2022,11 : 00,Group G
URUGUAY,KOREA REPUBLIC,49%,38%,13%,0,0,10,6,24 NOV 2022,14 : 00,Group H
PORTUGAL,GHANA,55%,35%,10%,3,2,11,8,24 NOV 2022,17 : 00,Group H
BRAZIL,SERBIA,53%,34%,13%,2,0,24,4,24 NOV 2022,20 : 00,Group G
WALES,IRAN,51%,33%,16%,0,2,10,21,25 NOV 2022,11 : 00,Group B
QATAR,SENEGAL,42%,48%,10%,1,3,10,12,25 NOV 2022,14 : 00,Group A
NETHERLANDS,ECUADOR,48%,39%,13%,1,1,2,13,25 NOV 2022,17 : 00,Group A
ENGLAND,UNITED STATES,51%,40%,9%,0,0,8,10,25 NOV 2022,20 : 00,Group B
TUNISIA,AUSTRALIA,50%,31%,19%,0,1,13,8,26 NOV 2022,11 : 00,Group D
POLAND,SAUDI ARABIA,30%,57%,14%,2,0,8,16,26 NOV 2022,14 : 00,Group C
FRANCE,DENMARK,44%,44%,12%,2,1,21,10,26 NOV 2022,17 : 00,Group D
ARGENTINA,MEXICO,50%,36%,14%,2,0,5,4,26 NOV 2022,20 : 00,Group C
JAPAN,COSTA RICA,48%,39%,13%,0,1,14,4,27 NOV 2022,11 : 00,Group E
BELGIUM,MOROCCO,56%,32%,12%,0,2,10,11,27 NOV 2022,14 : 00,Group F
CROATIA,CANADA,41%,46%,13%,4,1,13,9,27 NOV 2022,17 : 00,Group F
SPAIN,GERMANY,56%,33%,11%,1,1,7,10,27 NOV 2022,20 : 00,Group E
CAMEROON,SERBIA,38%,49%,13%,3,3,13,16,28 NOV 2022,11 : 00,Group G
KOREA REPUBLIC,GHANA,53%,32%,15%,2,3,21,8,28 NOV 2022,14 : 00,Group H
BRAZIL,SWITZERLAND,51%,40%,9%,1,0,9,4,28 NOV 2022,17 : 00,Group G
PORTUGAL,URUGUAY,53%,35%,12%,2,0,14,10,28 NOV 2022,20 : 00,Group H
NETHERLANDS,QATAR,54%,38%,8%,2,0,13,6,29 NOV 2022,16 : 00,Group A
ECUADOR,SENEGAL,51%,32%,17%,1,2,8,15,29 NOV 2022,16 : 00,Group A
WALES,ENGLAND,33%,58%,10%,0,3,7,17,29 NOV 2022,20 : 00,Group B
IRAN,UNITED STATES,42%,45%,13%,0,1,6,12,29 NOV 2022,20 : 00,Group B
AUSTRALIA,DENMARK,24%,60%,16%,1,0,8,14,30 NOV 2022,16 : 00,Group D
TUNISIA,FRANCE,30%,56%,14%,1,0,5,9,30 NOV 2022,16 : 00,Group D
POLAND,ARGENTINA,24%,67%,9%,0,2,4,25,30 NOV 2022,20 : 00,Group C
SAUDI ARABIA,MEXICO,29%,55%,17%,1,2,10,25,30 NOV 2022,20 : 00,Group C
CROATIA,BELGIUM,43%,47%,10%,0,0,11,15,01 DEC 2022,16 : 00,Group F
CANADA,MOROCCO,52%,36%,12%,1,2,5,7,01 DEC 2022,16 : 00,Group F
JAPAN,SPAIN,14%,78%,8%,2,1,6,14,01 DEC 2022,20 : 00,Group E
COSTA RICA,GERMANY,27%,60%,13%,2,4,8,32,01 DEC 2022,20 : 00,Group E
GHANA,URUGUAY,46%,39%,15%,0,2,9,12,02 DEC 2022,16 : 00,Group H
KOREA REPUBLIC,PORTUGAL,34%,55%,11%,2,1,12,12,02 DEC 2022,16 : 00,Group H
SERBIA,SWITZERLAND,45%,41%,14%,2,3,11,14,02 DEC 2022,20 : 00,Group G
CAMEROON,BRAZIL,31%,56%,13%,1,0,7,19,02 DEC 2022,20 : 00,Group G
